v1	d(Id(M1))/Id(M1)
Step Information: L=16n  (Run: 1/5)
2.350000000000002e-001	1.601931e+001
2.360000000000002e-001	1.595701e+001
2.370000000000002e-001	1.589450e+001
2.380000000000002e-001	1.583189e+001
2.390000000000002e-001	1.576912e+001
2.400000000000002e-001	1.570619e+001
2.410000000000002e-001	1.564313e+001
2.420000000000002e-001	1.557989e+001
2.430000000000002e-001	1.551655e+001
2.440000000000002e-001	1.545305e+001
2.450000000000002e-001	1.538944e+001
2.460000000000002e-001	1.532573e+001
2.470000000000002e-001	1.526186e+001
2.480000000000002e-001	1.519790e+001
2.490000000000002e-001	1.513383e+001
2.500000000000002e-001	1.506965e+001
2.510000000000002e-001	1.500540e+001
2.520000000000002e-001	1.494104e+001
2.530000000000002e-001	1.487656e+001
2.540000000000002e-001	1.481204e+001
2.550000000000002e-001	1.474746e+001
2.560000000000002e-001	1.468277e+001
2.570000000000002e-001	1.461794e+001
2.580000000000002e-001	1.455312e+001
2.590000000000002e-001	1.448832e+001
2.600000000000002e-001	1.442336e+001
2.610000000000002e-001	1.435837e+001
2.620000000000002e-001	1.429338e+001
2.630000000000002e-001	1.422831e+001
2.640000000000002e-001	1.416325e+001
2.650000000000002e-001	1.409816e+001
2.660000000000002e-001	1.403297e+001
2.670000000000002e-001	1.396786e+001
2.680000000000002e-001	1.390276e+001
2.690000000000002e-001	1.383754e+001
2.700000000000002e-001	1.377242e+001
2.710000000000002e-001	1.370729e+001
2.720000000000002e-001	1.364212e+001
2.730000000000002e-001	1.357703e+001
2.740000000000002e-001	1.351199e+001
2.750000000000002e-001	1.344691e+001
2.760000000000002e-001	1.338188e+001
2.770000000000002e-001	1.331694e+001
2.780000000000002e-001	1.325201e+001
2.790000000000002e-001	1.318712e+001
2.800000000000002e-001	1.312229e+001
2.810000000000002e-001	1.305755e+001
2.820000000000002e-001	1.299287e+001
2.830000000000002e-001	1.292828e+001
2.840000000000002e-001	1.286371e+001
2.850000000000002e-001	1.279927e+001
2.860000000000002e-001	1.273492e+001
2.870000000000002e-001	1.267067e+001
2.880000000000002e-001	1.260652e+001
2.890000000000002e-001	1.254245e+001
2.900000000000002e-001	1.247848e+001
2.910000000000002e-001	1.241468e+001
2.920000000000002e-001	1.235097e+001
2.930000000000002e-001	1.228735e+001
2.940000000000002e-001	1.222393e+001
2.950000000000002e-001	1.216063e+001
2.960000000000002e-001	1.209742e+001
2.970000000000002e-001	1.203437e+001
2.980000000000002e-001	1.197147e+001
2.990000000000002e-001	1.190876e+001
3.000000000000002e-001	1.184620e+001
3.010000000000002e-001	1.178377e+001
3.020000000000002e-001	1.172151e+001
3.030000000000002e-001	1.165943e+001
3.040000000000002e-001	1.159754e+001
3.050000000000002e-001	1.153584e+001
3.060000000000002e-001	1.147431e+001
3.070000000000002e-001	1.141293e+001
3.080000000000002e-001	1.135174e+001
3.090000000000002e-001	1.129079e+001
3.100000000000002e-001	1.123006e+001
